dataset,cohort,region,insertion_pid,session_eid,session_label,n_units
IBL,full_census(Fig6),MRN,00a824c0-e060-495f-9ebc-79c82fef4c67,fa704052-147e-46f6-b190-a65b837e605e,,4
IBL,full_census(Fig6),SCm,00a824c0-e060-495f-9ebc-79c82fef4c67,fa704052-147e-46f6-b190-a65b837e605e,,22
IBL,full_census(Fig6),MRN,00a96dee-1e8b-44cc-9cc3-aca704d2b594,b69b86be-af7d-4ecf-8cbf-0cd356afa1bd,,8
IBL,full_census(Fig6),MRN,0143d3fe-79c2-4922-8332-62c3e4e0ba85,22e04698-b974-4805-b241-3b547dbf37bf,,16
IBL,full_census(Fig6),SCm,0143d3fe-79c2-4922-8332-62c3e4e0ba85,22e04698-b974-4805-b241-3b547dbf37bf,,0
IBL,full_census(Fig6),SNr,0143d3fe-79c2-4922-8332-62c3e4e0ba85,22e04698-b974-4805-b241-3b547dbf37bf,,5
IBL,full_census(Fig6),MRN,01864e9d-0dbe-41d4-9e3a-0285348ecfc1,fa1f26a1-eb49-4b24-917e-19f02a18ac61,,7
IBL,full_census(Fig6),IRN,01937b3b-8719-43c3-b5bd-14e6b0cf2802,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,,73
IBL,full_census(Fig6),GRN,01937b3b-8719-43c3-b5bd-14e6b0cf2802,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,,15
IBL,full_census(Fig6),MRN,02cc03e4-8015-4050-bb42-6c832091febb,2bdf206a-820f-402f-920a-9e86cd5388a4,,45
IBL,full_census(Fig6),MRN,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d,b52182e7-39f6-4914-9717-136db589706e,,6
IBL,full_census(Fig6),GRN,04c9890f-2276-4c20-854f-305ff5c9b6cf,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,,68
IBL,full_census(Fig6),IRN,0685d767-80a2-49b6-a51a-0e9b1dd7a14d,239cdbb1-68e2-4eb0-91d8-ae5ae4001c7a,,29
IBL,full_census(Fig6),MRN,069c2674-80b0-44b4-a3d9-28337512967f,35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,,49
IBL,full_census(Fig6),SCm,069c2674-80b0-44b4-a3d9-28337512967f,35eeb752-8f4f-4040-9714-ba0f5b7ccdfe,,22
IBL,full_census(Fig6),MRN,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,30e5937e-e86a-47e6-93ae-d2ae3877ff8e,,34
IBL,full_census(Fig6),SCm,07abb39b-063b-4ef8-b3ab-963c6a1b5cc5,30e5937e-e86a-47e6-93ae-d2ae3877ff8e,,34
IBL,full_census(Fig6),IRN,0925fb1b-cf83-4f55-bfb7-aa52f993a404,2f63c555-eb74-4d8d-ada5-5c3ecf3b46be,,0
IBL,full_census(Fig6),MRN,0a45a464-a909-4b7c-a3e0-cd6cfb4262e4,14127fdb-2e66-4823-b124-f49c128ba94d,,24
IBL,full_census(Fig6),SCm,0a45a464-a909-4b7c-a3e0-cd6cfb4262e4,14127fdb-2e66-4823-b124-f49c128ba94d,,15
IBL,full_census(Fig6),MRN,0aafb6f1-6c10-4886-8f03-543988e02d9e,3e6a97d3-3991-49e2-b346-6948cb4580fb,,5
IBL,full_census(Fig6),GRN,0ece5c6a-7d1e-4365-893d-ac1cc04f1d7b,46794e05-3f6a-4d35-afb3-9165091a5a74,,28
IBL,full_census(Fig6),IRN,0fcb5f66-4d56-4247-8413-aef51e484e67,09394481-8dd2-4d5c-9327-f2753ede92d7,,42
IBL,full_census(Fig6),MRN,10ef1dcd-093c-4839-8f38-90a25edefb49,8c552ddc-813e-4035-81cc-3971b57efe65,,10
IBL,full_census(Fig6),SCm,10ef1dcd-093c-4839-8f38-90a25edefb49,8c552ddc-813e-4035-81cc-3971b57efe65,,0
IBL,full_census(Fig6),MRN,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,dd87e278-999d-478b-8cbd-b5bf92b84763,,25
IBL,full_census(Fig6),SCm,15a2a63f-739d-4eb0-ab8f-fc95b6299b68,dd87e278-999d-478b-8cbd-b5bf92b84763,,9
IBL,full_census(Fig6),SNr,18be19f9-6ca5-4fc8-9220-ba43c3e75905,51e53aff-1d5d-4182-a684-aba783d50ae5,,36
IBL,full_census(Fig6),MRN,19137f8d-0f3b-4923-93ad-f741758e1b2e,952870e5-f2a7-4518-9e6d-71585460f6fe,,13
IBL,full_census(Fig6),MRN,1a166c4f-4c53-422e-8473-b3cff85e6750,3dd347df-f14e-40d5-9ff2-9c49f84d2157,,0
IBL,full_census(Fig6),MRN,1f5d62cb-814f-4ab2-b6af-7557ea04d56a,239dd3c9-35f3-4462-95ee-91b822a22e6b,,1
IBL,full_census(Fig6),IRN,234c9e15-79a4-4e8a-8263-8b06cfbcbe7d,6bf810fd-fbeb-4eea-9ea7-b6791d002b22,,2
IBL,full_census(Fig6),MRN,2400a2fa-0335-480b-ac8d-a478171f3a55,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,,28
IBL,full_census(Fig6),SCm,2400a2fa-0335-480b-ac8d-a478171f3a55,e012d3e3-fdbc-4661-9ffa-5fa284e4e706,,0
IBL,full_census(Fig6),MRN,24149f5c-2984-4b48-922b-3cd1452cd4bd,11163613-a6c9-4975-9586-84dc00481547,,0
IBL,full_census(Fig6),IRN,25a9182c-4795-4768-af47-98975d2d2a8a,26aa51ff-968c-42e4-85c8-8ff47d19254d,,11
IBL,full_census(Fig6),IRN,25e75514-43e1-4c07-9fea-581bd203b55c,9545aa05-3945-4054-a5c3-a259f7209d61,,1
IBL,full_census(Fig6),MRN,27109779-1b15-4d74-893f-08216d231307,7cc74598-9c1b-436b-84fa-0bf89f31adf6,,27
IBL,full_census(Fig6),IRN,2781c08e-a356-4a0d-8c28-4f94d1c87f69,41431f53-69fd-4e3b-80ce-ea62e03bf9c7,,18
IBL,full_census(Fig6),MRN,27bac116-ea57-4512-ad35-714a62d259cd,111c1762-7908-47e0-9f40-2f2ee55b6505,,29
IBL,full_census(Fig6),SCm,27bac116-ea57-4512-ad35-714a62d259cd,111c1762-7908-47e0-9f40-2f2ee55b6505,,30
IBL,full_census(Fig6),SCm,2cbb5bc7-edbd-431e-a931-21e466d20dec,1b61b7f2-a599-4e40-abd6-3e758d2c9e25,,1
IBL,full_census(Fig6),IRN,2e720cee-05cc-440e-a24b-13794b1ac01d,32d27583-56aa-4510-bc03-669036edad20,,38
IBL,full_census(Fig6),GRN,2e720cee-05cc-440e-a24b-13794b1ac01d,32d27583-56aa-4510-bc03-669036edad20,,34
IBL,full_census(Fig6),MRN,30ac1320-d671-46fc-87ef-875cdfc6b4eb,edd22318-216c-44ff-bc24-49ce8be78374,,20
IBL,full_census(Fig6),SNr,30ac1320-d671-46fc-87ef-875cdfc6b4eb,edd22318-216c-44ff-bc24-49ce8be78374,,2
IBL,full_census(Fig6),MRN,31258665-fbe8-4599-9c5f-dbc0eeee9c51,62ff920c-2fdd-4feb-9d9f-0d66f2e595a1,,26
IBL,full_census(Fig6),SCm,31258665-fbe8-4599-9c5f-dbc0eeee9c51,62ff920c-2fdd-4feb-9d9f-0d66f2e595a1,,12
IBL,full_census(Fig6),MRN,33cde267-919e-4c4d-9105-814787499837,b887df2c-bb9c-44c9-a9c0-538da87b2cab,,43
IBL,full_census(Fig6),IRN,35897454-8702-4dc4-9865-7f01fa65f355,2e6e179c-fccc-4e8f-9448-ce5b6858a183,,7
IBL,full_census(Fig6),GRN,35897454-8702-4dc4-9865-7f01fa65f355,2e6e179c-fccc-4e8f-9448-ce5b6858a183,,16
IBL,full_census(Fig6),MRN,3675290c-8134-4598-b924-83edb7940269,15f742e1-1043-45c9-9504-f1e8a53c1744,,9
IBL,full_census(Fig6),SCm,3675290c-8134-4598-b924-83edb7940269,15f742e1-1043-45c9-9504-f1e8a53c1744,,14
IBL,full_census(Fig6),IRN,38981973-20de-44e5-8717-efcf88642502,20c112a1-8a42-44e0-a4cd-e5b932f7bda9,,6
IBL,full_census(Fig6),IRN,39883ded-f5a2-4f4f-a98e-fb138eb8433e,746d1902-fa59-4cab-b0aa-013be36060d5,,45
IBL,full_census(Fig6),GRN,39883ded-f5a2-4f4f-a98e-fb138eb8433e,746d1902-fa59-4cab-b0aa-013be36060d5,,34
