true,N,fr,fano,recovery,R
step,160,20.0,1.0,0.75,20
step,160,20.0,1.5,0.7,20
step,160,20.0,2.0,0.6,20
step,160,20.0,3.0,0.85,20
ramp,160,20.0,1.0,0.7,20
ramp,160,20.0,1.5,0.7,20
ramp,160,20.0,2.0,0.95,20
ramp,160,20.0,3.0,0.65,20
step,320,20.0,1.0,0.85,20
step,320,20.0,1.5,0.8,20
step,320,20.0,2.0,0.95,20
step,320,20.0,3.0,0.85,20
ramp,320,20.0,1.0,0.85,20
ramp,320,20.0,1.5,0.8,20
ramp,320,20.0,2.0,0.65,20
ramp,320,20.0,3.0,0.85,20
step,20,2.0,1.0,0.3,20
step,20,2.0,1.5,0.5,20
step,20,2.0,2.0,0.6,20
step,20,2.0,3.0,0.45,20
ramp,20,2.0,1.0,0.6,20
ramp,20,2.0,1.5,0.5,20
ramp,20,2.0,2.0,0.7,20
ramp,20,2.0,3.0,0.5,20
step,40,2.0,1.0,0.6,20
step,40,2.0,1.5,0.6,20
step,40,2.0,2.0,0.8,20
step,40,2.0,3.0,0.45,20
ramp,40,2.0,1.0,0.55,20
ramp,40,2.0,1.5,0.35,20
ramp,40,2.0,2.0,0.65,20
ramp,40,2.0,3.0,0.35,20
step,80,2.0,1.0,0.65,20
step,80,2.0,1.5,0.6,20
step,80,2.0,2.0,0.5,20
step,80,2.0,3.0,0.5,20
ramp,80,2.0,1.0,0.55,20
ramp,80,2.0,1.5,0.5,20
ramp,80,2.0,2.0,0.7,20
ramp,80,2.0,3.0,0.35,20
step,160,2.0,1.0,0.45,20
step,160,2.0,1.5,0.45,20
step,160,2.0,2.0,0.6,20
step,160,2.0,3.0,0.7,20
ramp,160,2.0,1.0,0.55,20
ramp,160,2.0,1.5,0.65,20
ramp,160,2.0,2.0,0.65,20
ramp,160,2.0,3.0,0.7,20
step,320,2.0,1.0,0.4,20
step,320,2.0,1.5,0.6,20
step,320,2.0,2.0,0.55,20
step,320,2.0,3.0,0.25,20
ramp,320,2.0,1.0,0.65,20
ramp,320,2.0,1.5,0.6,20
ramp,320,2.0,2.0,0.4,20
ramp,320,2.0,3.0,0.5,20
step,20,5.0,1.0,0.5,20
step,20,5.0,1.5,0.65,20
step,20,5.0,2.0,0.55,20
step,20,5.0,3.0,0.6,20
ramp,20,5.0,1.0,0.55,20
ramp,20,5.0,1.5,0.65,20
ramp,20,5.0,2.0,0.4,20
ramp,20,5.0,3.0,0.4,20
step,40,5.0,1.0,0.6,20
step,40,5.0,1.5,0.65,20
step,40,5.0,2.0,0.5,20
step,40,5.0,3.0,0.5,20
ramp,40,5.0,1.0,0.55,20
ramp,40,5.0,1.5,0.45,20
ramp,40,5.0,2.0,0.45,20
ramp,40,5.0,3.0,0.5,20
step,80,5.0,1.0,0.65,20
step,80,5.0,1.5,0.5,20
step,80,5.0,2.0,0.6,20
step,80,5.0,3.0,0.65,20
ramp,80,5.0,1.0,0.5,20
ramp,80,5.0,1.5,0.6,20
ramp,80,5.0,2.0,0.45,20
ramp,80,5.0,3.0,0.7,20
step,160,5.0,1.0,0.5,20
step,160,5.0,1.5,0.4,20
step,160,5.0,2.0,0.65,20
step,160,5.0,3.0,0.45,20
ramp,160,5.0,1.0,0.6,20
ramp,160,5.0,1.5,0.6,20
ramp,160,5.0,2.0,0.75,20
ramp,160,5.0,3.0,0.45,20
step,320,5.0,1.0,0.65,20
step,320,5.0,1.5,0.6,20
step,320,5.0,2.0,0.75,20
step,320,5.0,3.0,0.55,20
ramp,320,5.0,1.0,0.75,20
ramp,320,5.0,1.5,0.95,20
ramp,320,5.0,2.0,0.6,20
ramp,320,5.0,3.0,0.4,20
step,20,10.0,1.0,0.6,20
step,20,10.0,1.5,0.65,20
step,20,10.0,2.0,0.65,20
step,20,10.0,3.0,0.4,20
ramp,20,10.0,1.0,0.5,20
ramp,20,10.0,1.5,0.4,20
ramp,20,10.0,2.0,0.65,20
ramp,20,10.0,3.0,0.35,20
step,40,10.0,1.0,0.55,20
step,40,10.0,1.5,0.5,20
step,40,10.0,2.0,0.65,20
step,40,10.0,3.0,0.75,20
ramp,40,10.0,1.0,0.45,20
ramp,40,10.0,1.5,0.55,20
ramp,40,10.0,2.0,0.45,20
ramp,40,10.0,3.0,0.3,20
step,80,10.0,1.0,0.7,20
step,80,10.0,1.5,0.7,20
step,80,10.0,2.0,0.6,20
step,80,10.0,3.0,0.45,20
ramp,80,10.0,1.0,0.6,20
ramp,80,10.0,1.5,0.6,20
ramp,80,10.0,2.0,0.6,20
ramp,80,10.0,3.0,0.75,20
step,160,10.0,1.0,0.75,20
step,160,10.0,1.5,0.8,20
step,160,10.0,2.0,0.4,20
step,160,10.0,3.0,0.7,20
ramp,160,10.0,1.0,0.7,20
ramp,160,10.0,1.5,0.65,20
ramp,160,10.0,2.0,0.6,20
ramp,160,10.0,3.0,0.75,20
step,320,10.0,1.0,0.55,20
step,320,10.0,1.5,0.65,20
step,320,10.0,2.0,0.55,20
step,320,10.0,3.0,0.65,20
ramp,320,10.0,1.0,0.9,20
ramp,320,10.0,1.5,0.65,20
ramp,320,10.0,2.0,0.65,20
ramp,320,10.0,3.0,0.7,20
step,20,20.0,1.0,0.65,20
step,20,20.0,1.5,0.5,20
step,20,20.0,2.0,0.7,20
step,20,20.0,3.0,0.8,20
ramp,20,20.0,1.0,0.75,20
ramp,20,20.0,1.5,0.5,20
ramp,20,20.0,2.0,0.45,20
ramp,20,20.0,3.0,0.6,20
step,40,20.0,1.0,0.75,20
step,40,20.0,1.5,0.7,20
step,40,20.0,2.0,0.4,20
step,40,20.0,3.0,0.55,20
ramp,40,20.0,1.0,0.65,20
ramp,40,20.0,1.5,0.6,20
ramp,40,20.0,2.0,0.6,20
ramp,40,20.0,3.0,0.5,20
step,80,20.0,1.0,0.75,20
step,80,20.0,1.5,0.65,20
step,80,20.0,2.0,0.65,20
step,80,20.0,3.0,0.85,20
ramp,80,20.0,1.0,0.8,20
