true,N,fr,fano,recovery,R
step,160,20.0,1.0,0.775,40
step,160,20.0,1.5,0.7,40
step,160,20.0,2.0,0.65,40
step,160,20.0,3.0,0.825,40
ramp,160,20.0,1.0,0.85,40
ramp,160,20.0,1.5,0.775,40
ramp,160,20.0,2.0,0.775,40
ramp,160,20.0,3.0,0.65,40
step,320,20.0,1.0,0.9,40
step,320,20.0,1.5,0.8,40
step,320,20.0,2.0,0.8,40
step,320,20.0,3.0,0.7,40
ramp,320,20.0,1.0,0.95,40
ramp,320,20.0,1.5,0.825,40
ramp,320,20.0,2.0,0.775,40
ramp,320,20.0,3.0,0.9,40
step,20,2.0,1.0,0.425,40
step,20,2.0,1.5,0.475,40
step,20,2.0,2.0,0.625,40
step,20,2.0,3.0,0.45,40
ramp,20,2.0,1.0,0.375,40
ramp,20,2.0,1.5,0.525,40
ramp,20,2.0,2.0,0.325,40
ramp,20,2.0,3.0,0.4,40
step,40,2.0,1.0,0.625,40
step,40,2.0,1.5,0.575,40
step,40,2.0,2.0,0.675,40
step,40,2.0,3.0,0.5,40
ramp,40,2.0,1.0,0.55,40
ramp,40,2.0,1.5,0.5,40
ramp,40,2.0,2.0,0.5,40
ramp,40,2.0,3.0,0.5,40
step,80,2.0,1.0,0.425,40
step,80,2.0,1.5,0.55,40
step,80,2.0,2.0,0.5,40
step,80,2.0,3.0,0.6,40
ramp,80,2.0,1.0,0.625,40
ramp,80,2.0,1.5,0.5,40
ramp,80,2.0,2.0,0.45,40
ramp,80,2.0,3.0,0.55,40
step,160,2.0,1.0,0.575,40
step,160,2.0,1.5,0.35,40
step,160,2.0,2.0,0.6,40
step,160,2.0,3.0,0.625,40
ramp,160,2.0,1.0,0.625,40
ramp,160,2.0,1.5,0.5,40
ramp,160,2.0,2.0,0.35,40
ramp,160,2.0,3.0,0.4,40
step,320,2.0,1.0,0.45,40
step,320,2.0,1.5,0.575,40
step,320,2.0,2.0,0.525,40
step,320,2.0,3.0,0.375,40
ramp,320,2.0,1.0,0.65,40
ramp,320,2.0,1.5,0.625,40
ramp,320,2.0,2.0,0.475,40
ramp,320,2.0,3.0,0.425,40
step,20,5.0,1.0,0.5,40
