true,N,fr,fano,fit,recovery,R
step,40,20.0,1.0,poisson,0.8,40
step,40,20.0,1.5,poisson,0.325,40
step,40,20.0,2.0,poisson,0.15,40
step,40,20.0,3.0,poisson,0.1,40
ramp,40,20.0,1.0,poisson,0.675,40
ramp,40,20.0,1.5,poisson,0.5,40
ramp,40,20.0,2.0,poisson,0.85,40
ramp,40,20.0,3.0,poisson,0.975,40
step,160,20.0,1.0,poisson,0.7,40
step,160,20.0,1.5,poisson,0.25,40
step,160,20.0,2.0,poisson,0.1,40
step,160,20.0,3.0,poisson,0.0,40
ramp,160,20.0,1.0,poisson,0.875,40
ramp,160,20.0,1.5,poisson,0.875,40
ramp,160,20.0,2.0,poisson,1.0,40
ramp,160,20.0,3.0,poisson,0.975,40
step,320,20.0,1.0,poisson,0.9,40
step,320,20.0,1.5,poisson,0.225,40
step,320,20.0,2.0,poisson,0.025,40
step,320,20.0,3.0,poisson,0.0,40
ramp,320,20.0,1.0,poisson,0.95,40
ramp,320,20.0,1.5,poisson,0.875,40
ramp,320,20.0,2.0,poisson,1.0,40
ramp,320,20.0,3.0,poisson,1.0,40
