true,N,fr,pred,correct,d_cvll
step,20,2.0,step,1,0.060861184198429896
step,20,2.0,ramp,0,-0.1770550438555034
step,20,2.0,step,1,7.739097765041784
step,20,2.0,step,1,1.1557454013589634
step,20,2.0,step,1,0.5091725515176435
step,20,2.0,step,1,0.7358512883963471
step,20,2.0,step,1,0.5040692673852618
step,20,2.0,ramp,0,-0.901326177631347
step,20,2.0,ramp,0,-0.18282241527417398
step,20,2.0,step,1,7.865943929370459
step,20,2.0,ramp,0,-0.1983983910467444
step,20,2.0,step,1,0.30792028290750295
step,20,2.0,ramp,0,-0.4289714323030296
step,20,2.0,step,1,0.004096030129510098
step,20,2.0,ramp,0,-0.5000840710244319
step,20,2.0,step,1,0.1313677326364413
step,20,2.0,step,1,0.5604917580435753
step,20,2.0,ramp,0,-1.3917984607773306
step,20,2.0,ramp,0,-0.05863059215760913
step,20,2.0,step,1,0.2565783762597391
step,20,2.0,step,1,1.3639678198029443
step,20,2.0,step,1,0.34907753373840933
step,20,2.0,step,1,0.22982296035846872
step,20,2.0,step,1,2.5698302886985047
step,20,2.0,ramp,0,-0.47076094474862984
step,20,2.0,ramp,0,-0.8718254947134056
step,20,2.0,step,1,0.16276123950379429
step,20,2.0,step,1,0.6282909179543594
step,20,2.0,ramp,0,-0.7512344284985986
step,20,2.0,ramp,0,-0.10389439934625244
step,20,2.0,step,1,0.17578590406738925
step,20,2.0,step,1,0.0363202754726899
step,20,2.0,step,1,0.5184208301608777
step,20,2.0,step,1,0.27982230856083135
step,20,2.0,ramp,0,-0.5464522899071014
step,20,2.0,ramp,0,-0.39758450638527165
step,20,2.0,step,1,0.023901681259211216
step,20,2.0,ramp,0,-0.35565623512831124
step,20,2.0,step,1,0.40025519193128645
step,20,2.0,ramp,0,-1.159051217845466
step,20,2.0,ramp,0,-0.13551765720044529
step,20,2.0,ramp,0,-0.025518296594796652
step,20,2.0,step,1,0.9142978371488297
step,20,2.0,step,1,0.5220089772986363
step,20,2.0,ramp,0,-0.09205221025843002
step,20,2.0,step,1,2.5243939317984285
step,20,2.0,ramp,0,-0.1385085205555825
step,20,2.0,step,1,0.6552257134356765
step,20,2.0,step,1,0.1597982553169146
