cell,region,eid,n_trials,n_err,n0,fr_window,choice_beta,p_choice,corr_diff,err_diff,q_choice,sig_choice_raw,sig_choice_fdr,follows_choice
0143d3fe-79c2-4922-8332-62c3e4e0ba85:160,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,13.679727324135914,0.4091816100968866,0.6363636363636364,,,0.9027759126119781,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:183,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,14.782704559665994,-0.22429880848013584,0.7262737262737263,,,0.9043456543456544,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:188,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,17.479509551541764,0.643766588150321,0.5364635364635365,,,0.8850013622740894,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:202,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,64.99662313329429,-2.141416720019935,0.6533466533466533,,,0.902816033806449,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:208,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,61.93394124126768,1.4505906447587162,0.7222777222777222,,,0.9043456543456544,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:21,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,18.470654656108863,3.333840531073186,0.15884115884115885,,,0.6629140090678551,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:213,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,63.26158108185624,-2.985020316102836,0.4225774225774226,,,0.8358816071820556,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:244,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,40.64398811896131,2.9703389099369453,0.1088911088911089,,,0.5871849669318024,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:249,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,58.40943534464961,3.345922994532976,0.23676323676323677,,,0.727400259315153,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:42,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,12.995720086856196,4.22465849647837,0.15784215784215785,,,0.6629140090678551,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:46,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,12.12752420324222,1.6717698221146557,0.2897102897102897,,,0.7571569534759719,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:143,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,22.231624412506907,-1.3319224592667678,0.4125874125874126,,,0.8358816071820556,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:159,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,39.07151801818155,1.5990102290672503,0.7272727272727273,,,0.9043456543456544,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:187,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,17.96609862317242,4.380200447077771,0.08791208791208792,,,0.5738806647897556,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:191,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,16.13535349125204,-1.5346103651615763,0.6633366633366633,,,0.902816033806449,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:205,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,44.24286491478894,-0.41127340898181775,0.6143856143856143,,,0.8957191457191458,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:219,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,26,4,7,18.26557833017636,0.7927158066546927,0.4995004995004995,,,0.8850013622740894,False,False,False
