cell,region,eid,n_trials,n_err,n0,fr_window,choice_beta,p_choice,corr_diff,err_diff,q_choice,sig_choice_raw,sig_choice_fdr,follows_choice
00a824c0-e060-495f-9ebc-79c82fef4c67:144,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,15.48487752369754,0.7083783320891106,0.16183816183816183,1.593538820724838,-0.2833301253674101,0.5634793472052573,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:215,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,29.54882732643965,-0.7530058528290624,0.18681318681318682,1.618023292955023,-7.007278197554474,0.5861943881361357,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:220,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,39.45679981700536,-1.005859440659473,0.08591408591408592,-2.2599351502694347,1.4131036157264063,0.4658965195877948,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:228,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,26.780231641178577,0.9872446682672624,0.39760239760239763,4.910991328321334,0.5742032717975221,0.7685711417768835,False,False,True
00a824c0-e060-495f-9ebc-79c82fef4c67:232,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,50.572092602887885,-0.5383050673086576,0.8321678321678322,-5.046519590398361,2.932550404656425,0.952248597068893,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:254,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,66.08499600650312,1.732016290120109,0.2677322677322677,6.63762481339964,1.8893864182179811,0.6739179823291972,False,False,True
00a824c0-e060-495f-9ebc-79c82fef4c67:261,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,18.187179962573737,2.0779295105088904,0.04095904095904096,1.502941490637788,6.216695756754511,0.3636802757681879,True,False,True
00a824c0-e060-495f-9ebc-79c82fef4c67:308,SCm,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,13.204126213161148,-0.643561317084834,0.4855144855144855,-5.674727278917855,2.6718105578004447,0.8293778103503262,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:42,MRN,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,59.06354122813123,-5.480863470917984,0.024975024975024976,-14.415870406318696,-6.139251557301677,0.276435892874249,True,False,True
00a824c0-e060-495f-9ebc-79c82fef4c67:44,MRN,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,29.649248566221427,0.4658845437899344,0.5244755244755245,2.6774259640953915,-0.6169150042126859,0.8423576423576424,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:52,MRN,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,39.14556950157347,2.1727547351370182,0.04595404595404595,0.1615376332560743,5.263954646779517,0.3812870546538888,True,False,True
00a824c0-e060-495f-9ebc-79c82fef4c67:58,MRN,fa704052-147e-46f6-b190-a65b837e605e,164,28,36,28.624736516881995,-0.1091303834302626,0.7112887112887113,-0.3010473665276123,-0.33395773355206515,0.9164466107141266,False,False,True
0143d3fe-79c2-4922-8332-62c3e4e0ba85:160,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,13.679727324135914,0.4091816100968866,0.6353646353646354,,,0.8957871396895787,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:183,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,14.782704559665994,-0.22429880848013584,0.7462537462537463,,,0.9233750424406038,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:188,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,17.479509551541764,0.643766588150321,0.5584415584415584,,,0.8586503886218444,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:202,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,64.99662313329429,-2.141416720019935,0.6533466533466533,,,0.8970332980528393,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:208,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,61.93394124126768,1.4505906447587162,0.7352647352647352,,,0.9233750424406038,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:21,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,18.470654656108863,3.333840531073186,0.14285714285714285,,,0.5520894200139483,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:213,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,63.26158108185624,-2.985020316102836,0.4165834165834166,,,0.7846139874111902,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:244,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,40.64398811896131,2.9703389099369453,0.0989010989010989,,,0.49176669484361785,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:249,MRN,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,58.40943534464961,3.345922994532976,0.23376623376623376,,,0.6302003644196335,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:42,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,12.995720086856196,4.22465849647837,0.17682317682317683,,,0.576101318036802,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:46,SNr,22e04698-b974-4805-b241-3b547dbf37bf,37,5,15,12.12752420324222,1.6717698221146557,0.2907092907092907,,,0.6952811200598811,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:102,GRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,11.55092160887754,3.4679036262678933,0.07492507492507493,,,0.4435125314246194,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:109,GRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,11.548618761250774,3.3348844362877377,0.06693306693306693,,,0.4190008464817625,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:115,GRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,21.48229084736048,-0.03116953247030163,0.987012987012987,,,0.9956385686722765,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:173,GRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,23.9907503887825,-1.4800334731653972,0.24575424575424576,,,0.6468059627668747,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:215,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,15.304451098751803,2.82630450907717,0.014985014985014986,,,0.20349398500659005,True,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:223,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,37.91106492822233,-1.3970909010421222,0.37662337662337664,,,0.7513868847202181,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:246,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,24.899315456693653,-0.9397921484334393,0.3066933066933067,,,0.7000231407011067,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:254,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,17.445870087217273,4.193245462210818,0.0989010989010989,,,0.49176669484361785,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:258,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,24.492889561779343,-5.815933506092128,0.001998001998001998,,,0.06330923977982801,True,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:275,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,27.420137122756284,5.24590128905597,0.11888111888111888,,,0.5206284230674474,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:281,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,16.715138514508407,1.517689022166993,0.3516483516483517,,,0.7366412507800683,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:286,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,19.00347940001115,2.393405742607951,0.28771228771228774,,,0.6952811200598811,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:298,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,10.888053550684804,1.0694122067075815,0.2987012987012987,,,0.6975452293371368,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:306,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,18.44677410498403,3.111750682261689,0.15384615384615385,,,0.5624782457361643,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:317,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,30.429223239763065,8.127999118076998,0.000999000999000999,,,0.04748192983487101,True,True,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:493,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,22.686840937110716,3.5243540234418145,0.3546453546453546,,,0.7366412507800683,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:498,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,10.89324003148674,1.5797886615929289,0.22977022977022976,,,0.6272106272106273,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:600,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,10.70101366033238,3.5478460161809755,0.08391608391608392,,,0.4658965195877948,False,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:617,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,11.201055638875465,5.430343509959179,0.00999000999000999,,,0.1664315066376922,True,False,False
01937b3b-8719-43c3-b5bd-14e6b0cf2802:630,IRN,e12fbe11-8a6b-4bf6-a955-e5f6cec31ef1,63,11,20,27.44722890471686,-0.7457413340061141,0.6963036963036963,,,0.9125926790160367,False,False,False
