region,K,auc,auc_sd
GRN,1,0.4619097222222222,0.2777357310480546
GRN,2,0.4602361111111111,0.34294117273265234
GRN,5,0.47592592592592603,0.34088822385683276
GRN,10,0.5050416666666667,0.3440586995852424
GRN,20,0.4669143518518518,0.31059509935253715
GRN,50,0.48983101851851857,0.37536849593811306
GRN,100,0.27657870370370374,0.3252721082770716
GRN,130,0.2730925925925926,0.29060247641233583
MRN,1,0.5379768518518518,0.2800951414025445
MRN,2,0.4833912037037037,0.2511837215797799
MRN,5,0.6254722222222223,0.2585537001905052
MRN,10,0.5282152777777777,0.2882153618859201
MRN,20,0.5543263888888889,0.3225569068996313
MRN,50,0.6180717592592593,0.2883518728224737
MRN,100,0.5996041666666667,0.2634059470654751
MRN,200,0.6500208333333333,0.28770645216998836
MRN,669,0.671886574074074,0.26395774082492995
SNr,1,0.5149675925925926,0.27618639970751985
SNr,2,0.5683611111111111,0.276260955641835
SNr,5,0.5559699074074074,0.2629930288648814
SNr,10,0.5371319444444445,0.204901322285526
SNr,20,0.6515787037037037,0.25414164262395794
SNr,41,0.6552152777777779,0.22381691942905232
SCm,1,0.5580902777777778,0.2845402516680476
SCm,2,0.45372685185185185,0.24626366938761748
SCm,5,0.5684375,0.31104046338959196
SCm,10,0.47208796296296296,0.24258299625845822
SCm,20,0.4519606481481481,0.26155338681100315
SCm,50,0.4582268518518519,0.3088920705632612
SCm,100,0.5338217592592593,0.29469242728411355
SCm,200,0.5684583333333334,0.2848698292858436
SCm,375,0.6966597222222223,0.22897727678488541
IRN,1,0.4945277777777778,0.26109714329267697
IRN,2,0.5865972222222222,0.22085571674938545
IRN,5,0.5772291666666666,0.2821707979758431
IRN,10,0.6773287037037037,0.22566967437672933
IRN,20,0.7118541666666666,0.21343066005886688
IRN,50,0.744962962962963,0.2197948494103808
IRN,100,0.8597430555555555,0.15424418737297288
IRN,161,0.8866712962962963,0.1579810387192769
