cell,region,eid,n_left,n_right,fr_window,auc_delib,p_delib,auc_early,p_early,auc_peri,p_peri,auc_move,p_move,auc_stim,p_stim,q_delib,sig_fdr,sig_raw,move_survive,stim_survive,leading,locked,triple
0143d3fe-79c2-4922-8332-62c3e4e0ba85:160,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,13.679727324135914,0.42962962962962964,0.5367316341829086,0.4925925925925926,0.9685157421289355,0.4203703703703704,0.4777611194402799,0.42962962962962964,0.56071964017991,0.4703703703703704,0.7976011994002998,0.8611738906666071,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:183,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,14.782704559665994,0.44814814814814813,0.663168415792104,0.5185185185185185,0.8725637181409296,0.30925925925925923,0.079960019990005,0.44074074074074077,0.6116941529235382,0.5592592592592592,0.6036981509245377,0.9126218140929536,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:188,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,17.479509551541764,0.34074074074074073,0.15242378810594703,0.34074074074074073,0.15642178910544727,0.37777777777777777,0.2753623188405797,0.32592592592592595,0.11594202898550725,0.4740740740740741,0.824087956021989,0.5468404009377426,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:202,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,64.99662313329429,0.45925925925925926,0.7491254372813593,0.46296296296296297,0.750624687656172,0.37962962962962965,0.2773613193403298,0.5148148148148148,0.9145427286356822,0.44074074074074077,0.6201899050474763,0.9397808059758421,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:208,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,61.93394124126768,0.48518518518518516,0.8850574712643678,0.4148148148148148,0.4267866066966517,0.5925925925925926,0.4107946026986507,0.5407407407407407,0.7296351824087957,0.48148148148148145,0.8675662168915542,0.9672844375817079,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:21,SNr,22e04698-b974-4805-b241-3b547dbf37bf,10,27,18.470654656108863,0.35185185185185186,0.17891054472763618,0.4703703703703704,0.7986006996501749,0.29259259259259257,0.0559720139930035,0.4074074074074074,0.4217891054472764,0.36666666666666664,0.22688655672163918,0.5631126042818007,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:213,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,63.26158108185624,0.5370370370370371,0.7306346826586707,0.5259259259259259,0.8360819590204898,0.5074074074074074,0.9480259870064968,0.6111111111111112,0.30834582708645675,0.6222222222222222,0.25787106446776614,0.9356779943361653,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:244,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,40.64398811896131,0.3074074074074074,0.06896551724137931,0.32592592592592595,0.09995002498750624,0.4203703703703704,0.4867566216891554,0.3296296296296296,0.11394302848575712,0.3037037037037037,0.07496251874062969,0.3650584346381026,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:249,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,58.40943534464961,0.42592592592592593,0.5077461269365318,0.3888888888888889,0.3118440779610195,0.4759259259259259,0.8225887056471765,0.4222222222222222,0.4777611194402799,0.4111111111111111,0.4367816091954023,0.8431033525382902,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:42,SNr,22e04698-b974-4805-b241-3b547dbf37bf,10,27,12.995720086856196,0.37222222222222223,0.2463768115942029,0.39444444444444443,0.3258370814592704,0.28703703703703703,0.050974512743628186,0.32592592592592595,0.11244377811094453,0.35,0.1809095452273863,0.6420729029424682,False,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:46,SNr,22e04698-b974-4805-b241-3b547dbf37bf,10,27,12.12752420324222,0.3592592592592593,0.22088955522238882,0.48703703703703705,0.9205397301349325,0.2722222222222222,0.030984507746126936,0.3814814814814815,0.2768615692153923,0.3814814814814815,0.2773613193403298,0.6208007107557332,False,False,False,False,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:143,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,14,12,22.231624412506907,0.5059523809523809,0.9775112443778111,0.5,1.0,0.4583333333333333,0.7361319340329835,0.5297619047619048,0.8045977011494253,0.6071428571428571,0.37031484257871067,0.9952116140511303,False,False,False,False,False,False,False
04c9890f-2276-4c20-854f-305ff5c9b6cf:159,GRN,671c7ea7-6726-4fbe-adeb-f89c2c8e489b,14,12,39.07151801818155,0.4880952380952381,0.9115442278860569,0.4166666666666667,0.4947526236881559,0.3869047619047619,0.3328335832083958,0.3333333333333333,0.1374312843578211,0.5416666666666666,0.7486256871564217,0.9726154292580758,False,False,False,False,False,False,False
