cell,region,eid,n_left,n_right,fr_window,has_dlc,auc_delib,p_delib,auc_early,p_early,auc_peri,p_peri,p_move_wheel,p_move_full,p_stim,q_delib,sig_fdr,sig_raw,p_move,move_survive,move_survive_wheel,stim_survive,leading,locked,triple
00a824c0-e060-495f-9ebc-79c82fef4c67:144,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,15.48487752369754,True,0.44719101123595506,0.23738130934532733,0.45123595505617975,0.28835582208895555,0.5061423220973783,0.881559220389805,0.20689655172413793,0.5112443778110944,0.32733633183408295,0.5809029020233085,False,False,0.5112443778110944,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:215,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,29.54882732643965,True,0.5069662921348315,0.8920539730134932,0.5402247191011236,0.37031484257871067,0.5113857677902621,0.8010994502748626,0.872063968015992,0.4427786106946527,0.5552223888055972,0.9751197275856,False,False,0.4427786106946527,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:220,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,39.45679981700536,True,0.5695880149812734,0.12143928035982009,0.5610486891385768,0.19140429785107446,0.5943071161048689,0.043478260869565216,0.11294352823588207,0.3713143428285857,0.551224387806097,0.42390821756503727,False,False,0.3713143428285857,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:228,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,26.780231641178577,True,0.39146067415730335,0.017991004497751123,0.4298876404494382,0.13693153423288357,0.4169288389513109,0.05897051474262868,0.13543228385807096,0.21339330334832585,0.21239380309845077,0.15101257661324777,False,True,0.21339330334832585,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:232,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,50.572092602887885,True,0.5674157303370787,0.13243378310844578,0.5512359550561797,0.25987006496751625,0.5907116104868914,0.0384807596201899,0.17691154422788605,0.39280359820089955,0.49725137431284355,0.43873768637153815,False,False,0.39280359820089955,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:254,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,66.08499600650312,True,0.43595505617977526,0.15992003998001,0.42756554307116107,0.10644677661169415,0.458876404494382,0.3538230884557721,0.15142428785607195,0.40879560219890054,0.9730134932533733,0.47976011994003,False,False,0.40879560219890054,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:261,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,18.187179962573737,True,0.4158801498127341,0.062468765617191405,0.4091385767790262,0.04147926036981509,0.4798501872659176,0.6426786606696652,0.015492253873063468,0.044977511244377814,0.047476261869065464,0.30481747078268095,False,False,0.044977511244377814,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:308,SCm,fa704052-147e-46f6-b190-a65b837e605e,75,89,13.204126213161148,True,0.6283895131086142,0.0029985007496251873,0.6037453183520599,0.02148925537231384,0.7047940074906367,0.0004997501249375312,0.010494752623688156,0.09345327336331834,0.2798600699650175,0.04956705320808983,True,True,0.09345327336331834,False,True,False,True,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:42,MRN,fa704052-147e-46f6-b190-a65b837e605e,75,89,59.06354122813123,True,0.5970037453183521,0.038980509745127435,0.6238202247191011,0.00849575212393803,0.5065168539325843,0.8855572213893054,0.2813593203398301,0.7471264367816092,0.6371814092953523,0.23388305847076463,False,True,0.7471264367816092,False,False,False,True,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:44,MRN,fa704052-147e-46f6-b190-a65b837e605e,75,89,29.649248566221427,True,0.46726591760299624,0.48825587206396803,0.4368539325842697,0.17191404297851073,0.533932584269663,0.4357821089455272,0.8840579710144928,0.551224387806097,0.881559220389805,0.7893957213010262,False,False,0.551224387806097,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:52,MRN,fa704052-147e-46f6-b190-a65b837e605e,75,89,39.14556950157347,True,0.46217228464419474,0.42028985507246375,0.45078651685393256,0.2723638180909545,0.49138576779026216,0.8455772113943029,0.3583208395802099,0.2063968015992004,0.25737131434282856,0.7457497976094098,False,False,0.2063968015992004,False,False,False,False,False,False
00a824c0-e060-495f-9ebc-79c82fef4c67:58,MRN,fa704052-147e-46f6-b190-a65b837e605e,75,89,28.624736516881995,True,0.5459176029962547,0.3258370814592704,0.5298876404494383,0.5167416291854073,0.44636704119850185,0.2538730634682659,0.8275862068965517,0.632183908045977,0.9050474762618691,0.6681722429924278,False,False,0.632183908045977,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:160,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,13.679727324135914,True,0.42962962962962964,0.5217391304347826,0.4925925925925926,0.9580209895052474,0.4203703703703704,0.47226386806596704,0.5322338830584707,0.8575712143928036,0.784607696151924,0.8103706767306001,False,False,0.8575712143928036,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:183,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,14.782704559665994,True,0.44814814814814813,0.6451774112943528,0.5185185185185185,0.8735632183908046,0.30925925925925923,0.07946026986506746,0.6046976511744128,0.7411294352823589,0.6216891554222889,0.8863081149780438,False,False,0.7411294352823589,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:188,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,17.479509551541764,True,0.34074074074074073,0.12743628185907047,0.34074074074074073,0.15142428785607195,0.37777777777777777,0.28235882058970513,0.10944527736131934,0.24987506246876562,0.8300849575212393,0.43178410794602695,False,False,0.24987506246876562,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:202,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,64.99662313329429,True,0.45925925925925926,0.736631684157921,0.46296296296296297,0.7531234382808596,0.37962962962962965,0.2698650674662669,0.9090454772613693,0.6256871564217891,0.6041979010494752,0.9268642208717484,False,False,0.6256871564217891,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:208,MRN,22e04698-b974-4805-b241-3b547dbf37bf,10,27,61.93394124126768,True,0.48518518518518516,0.9050474762618691,0.4148148148148148,0.44877561219390305,0.5925925925925926,0.4002998500749625,0.7266366816591704,0.6296851574212894,0.8600699650174912,0.978549566559709,False,False,0.6296851574212894,False,False,False,False,False,False
0143d3fe-79c2-4922-8332-62c3e4e0ba85:21,SNr,22e04698-b974-4805-b241-3b547dbf37bf,10,27,18.470654656108863,True,0.35185185185185186,0.19140429785107446,0.4703703703703704,0.7961019490254873,0.29259259259259257,0.05747126436781609,0.384807596201899,0.7866066966516742,0.21639180409795103,0.5273383716305113,False,False,0.7866066966516742,False,False,False,False,False,False
