setting,control,n_sessions,decode_auc,decode_lo,decode_hi,decode_bar,pooled_sd,pooled_lo,pooled_hi
floor10Hz,linear,28,0.5805305473059421,0.5391273542559107,0.6224255920868527,straddles,-0.013126504773974298,-0.05147864092486363,0.025415490438492817
floor10Hz,pca_expanded,28,0.5882817474525763,0.5361773814814542,0.6406872566210633,straddles,0.007705600820204574,-0.031025482061455792,0.04632363346300655
floor15Hz,linear,26,0.5809486363087779,0.5381259620716333,0.6269985853275823,straddles,-0.013126504773974298,-0.05147864092486363,0.025415490438492817
floor15Hz,pca_expanded,26,0.5920883152998729,0.5444403150488178,0.642636195474187,straddles,0.007705600820204574,-0.031025482061455792,0.04632363346300655
floor25Hz,linear,20,0.5623235455742563,0.5097359669428373,0.6133203401916539,straddles,-0.013126504773974298,-0.05147864092486363,0.025415490438492817
floor25Hz,pca_expanded,20,0.5830151222856605,0.5263893934809208,0.6395456356383011,straddles,0.007705600820204574,-0.031025482061455792,0.04632363346300655
window-early,linear,28,0.5622365858833324,0.5210969027564935,0.6015765474847529,straddles,-0.05525515869472443,-0.09570195735725112,-0.015628789389252194
window-early,pca_expanded,28,0.5791683974070004,0.5243304393981093,0.6312418196331425,straddles,-0.03534566031513331,-0.07492260654420166,0.003694932213404429
window-delib,linear,28,0.5805305473059421,0.5391273542559107,0.6224255920868527,straddles,-0.013126504773974298,-0.05147864092486363,0.025415490438492817
window-delib,pca_expanded,28,0.5882817474525763,0.5361773814814542,0.6406872566210633,straddles,0.007705600820204574,-0.031025482061455792,0.04632363346300655
window-peri,linear,28,0.6400809833840819,0.5914481561762354,0.6912646674380085,CLEARS,0.10970861173004204,0.07166433770824555,0.1488410988793854
window-peri,pca_expanded,28,0.6612336353342243,0.6051192862483928,0.7194588730731066,CLEARS,0.14207854257899588,0.10249560879346453,0.18186339264080514
bin10ms,linear,28,0.5788908873026963,0.53774576207176,0.6199018437420748,straddles,-0.008235070183407259,-0.04529395757687127,0.030231602294163197
bin10ms,pca_expanded,28,0.5857335962861864,0.5337131069491489,0.6387992919401433,straddles,-0.0004199731638684685,-0.03805032403040301,0.03770917644567071
bin20ms,linear,28,0.5775654116000536,0.535250191148869,0.6201655809088302,straddles,-0.011178652127643008,-0.04873120721213208,0.02738685686543123
bin20ms,pca_expanded,28,0.5828539943499332,0.5294659995381178,0.6362218336745157,straddles,0.002770076577121965,-0.03596603460659115,0.040925724445092355
bin50ms,linear,28,0.572693566294822,0.5298329534165865,0.6141487706602451,straddles,-0.01933242363406325,-0.05690734963704917,0.01950196184635401
bin50ms,pca_expanded,28,0.576241298034554,0.5219853558719332,0.6288710743174402,straddles,-0.007996814407933157,-0.0451708854015042,0.029580801696381855
