dataset,region,cell,n,fr_window,auc_linear,auc_pca,p_move_linear,p_move_pca
IBL,MRN,c893c0a3-5597-49cf-baa1-60efdfdef542:749,18,30.5,0.84,0.951,0.0165,0.0005
IBL,MRN,e033ef96-3590-4e52-bb01-6c6d75bab083:363,51,18.0,0.815,0.793,0.0005,0.001
IBL,SCm,eda7a3ac-f038-4603-9c68-816234e9c4eb:307,40,11.5,0.809,0.82,0.006,0.005
IBL,MRN,d5e5311c-8beb-4f8f-b798-3e9bfa6bcdd8:137,91,20.0,0.802,0.828,0.0005,0.0005
IBL,GRN,df6012d0-d921-4d0a-af2a-2a91030d0f42:166,30,26.4,0.801,0.851,0.0035,0.001
IBL,MRN,6981808a-357c-4ffd-9989-33160ba9e256:430,70,72.7,0.799,0.837,0.0005,0.0005
IBL,IRN,df6012d0-d921-4d0a-af2a-2a91030d0f42:204,30,98.0,0.796,0.824,0.005,0.0015
IBL,MRN,81ef1ec7-dbcc-410f-9bff-b21a62a909fd:505,46,57.8,0.772,0.787,0.0055,0.0045
IBL,MRN,e033ef96-3590-4e52-bb01-6c6d75bab083:395,51,16.5,0.772,0.752,0.003,0.005
IBL,MRN,81ef1ec7-dbcc-410f-9bff-b21a62a909fd:463,46,50.3,0.77,0.804,0.008,0.0015
IBL,MRN,eda7a3ac-f038-4603-9c68-816234e9c4eb:150,40,12.7,0.766,0.762,0.019,0.02
IBL,SCm,eda7a3ac-f038-4603-9c68-816234e9c4eb:447,40,10.2,0.766,0.773,0.0205,0.0145
IBL,SCm,59b7a543-8827-4157-a4f6-d5d0e50fdf39:44,64,20.0,0.763,0.768,0.014,0.0155
IBL,SCm,eda7a3ac-f038-4603-9c68-816234e9c4eb:396,40,20.4,0.762,0.766,0.027,0.0165
IBL,MRN,c893c0a3-5597-49cf-baa1-60efdfdef542:884,18,13.1,0.753,0.778,0.08,0.048
IBL,SCm,b83407f8-8220-46f9-9b90-a4c9f150c572:463,55,55.4,0.751,0.756,0.0025,0.0025
IBL,SCm,478de1ce-d7e7-4221-9365-2abdc6e88fb6:410,91,37.8,0.749,0.757,0.0005,0.0005
IBL,SCm,a450558e-195f-44ff-979b-6b6420c9621b:1111,24,12.9,0.748,0.86,0.0435,0.002
IBL,MRN,3c283107-7012-48fc-a6c2-ed096b23974f:950,49,65.2,0.743,0.718,0.012,0.0265
IBL,GRN,cc72fdb7-92e8-47e6-9cea-94f27c0da2d8:551,62,26.6,0.738,0.729,0.0015,0.0025
IBL,GRN,ce24bbe9-ae70-4659-9e9c-564d1a865de8:230,23,47.4,0.738,0.722,0.0555,0.0815
IBL,SCm,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:600,128,34.1,0.736,0.801,0.0005,0.0005
IBL,SCm,d5e5311c-8beb-4f8f-b798-3e9bfa6bcdd8:275,91,63.2,0.736,0.765,0.0005,0.0005
IBL,MRN,ac680ec5-6f89-4739-9848-9d76fc0e017f:219,22,19.4,0.732,0.741,0.0935,0.0565
IBL,MRN,9150758e-1390-41d1-b426-96675e60dbea:7,138,27.3,0.723,0.748,0.0005,0.0005
IBL,IRN,39883ded-f5a2-4f4f-a98e-fb138eb8433e:330,20,17.0,0.717,0.818,0.1104,0.016
IBL,MRN,eda7a3ac-f038-4603-9c68-816234e9c4eb:21,40,14.7,0.715,0.73,0.066,0.044
IBL,SCm,b543e81e-4c8f-415e-82ec-631b177d19d2:168,128,42.7,0.712,0.758,0.0005,0.0005
IBL,GRN,cc72fdb7-92e8-47e6-9cea-94f27c0da2d8:480,62,30.4,0.712,0.75,0.0085,0.0005
IBL,IRN,3ccb2d59-9e94-48e6-9e72-0b7b96bd3f9b:440,66,13.8,0.712,0.713,0.006,0.0055
IBL,MRN,d70f3604-b3cc-41b0-967a-f6619b2586a7:729,78,44.2,0.707,0.726,0.003,0.001
IBL,SCm,53ecbf4f-e0d8-4fe6-a852-8b934a37a1c2:555,128,11.0,0.707,0.76,0.0005,0.0005
IBL,SCm,97207d87-3fcd-4ebb-b0c7-087bdbf8a95c:402,28,16.9,0.706,0.717,0.0765,0.0705
IBL,IRN,7bc16ab1-1b0d-4f52-9e4b-210106ea344c:647,75,10.8,0.706,0.704,0.006,0.007
IBL,MRN,ea931b15-6214-4b80-8d88-7acbbe071bc0:53,85,38.3,0.702,0.753,0.0005,0.0005
IBL,GRN,aecd7612-b5c5-4ad2-9e76-e5b783387e47:31,52,27.9,0.702,0.71,0.0255,0.025
Steinmetz,SNr,Richards_2017-10-30:319,161,67.0,0.817,0.819,0.0005,0.0005
Steinmetz,SC,Radnitz_2017-01-11:119,79,65.9,0.726,0.704,0.001,0.0035
Steinmetz,SNr,Richards_2017-10-30:25,161,28.4,0.713,0.707,0.0005,0.001
