dataset,region,control,n_cells,move_indep_FDR,frac_move_indep,median_auc_after,frac_auc_after_gt065
IBL,MRN,linear,777,9,0.011583011583011582,0.5067567567567568,0.07593307593307594
IBL,MRN,pca_expanded,777,26,0.03346203346203346,0.5082184517497349,0.09009009009009009
IBL,SCm,linear,427,8,0.01873536299765808,0.504765969554702,0.08665105386416862
IBL,SCm,pca_expanded,427,15,0.0351288056206089,0.5023474178403756,0.1053864168618267
IBL,SNr,linear,47,0,0.0,0.5,0.0425531914893617
IBL,SNr,pca_expanded,47,0,0.0,0.5094476744186046,0.0425531914893617
IBL,GRN,linear,184,0,0.0,0.501131221719457,0.07065217391304347
IBL,GRN,pca_expanded,184,6,0.03260869565217391,0.4842672342672342,0.06521739130434782
IBL,IRN,linear,185,0,0.0,0.4931389365351629,0.06486486486486487
IBL,IRN,pca_expanded,185,2,0.010810810810810811,0.5053304904051172,0.10810810810810811
Steinmetz,MRN,linear,223,24,0.10762331838565023,0.5015001500150015,0.004484304932735426
Steinmetz,MRN,pca_expanded,223,32,0.14349775784753363,0.502112569790252,0.02242152466367713
Steinmetz,SC,linear,168,18,0.10714285714285714,0.47853967536381636,0.017857142857142856
Steinmetz,SC,pca_expanded,168,23,0.13690476190476192,0.47883064516129037,0.017857142857142856
Steinmetz,SNr,linear,79,8,0.10126582278481013,0.4819444444444444,0.0379746835443038
Steinmetz,SNr,pca_expanded,79,8,0.10126582278481013,0.4850199036245547,0.0379746835443038
