dataset,scheme,region,hiFR,choice_fdr,move_indep_fdr,stim_indep_fdr,triple_fdr
IBL,dataset-wide BH,MRN,777,47,0,0,0
IBL,dataset-wide BH,SCm,427,27,0,0,0
IBL,dataset-wide BH,SNr,47,9,0,0,0
IBL,dataset-wide BH,GRN,184,7,0,0,0
IBL,dataset-wide BH,IRN,185,8,0,0,0
IBL,dataset-wide BH,ALL,1620,98,0,0,0
IBL,within-region BH,MRN,777,47,0,0,0
IBL,within-region BH,SCm,427,27,5,11,3
IBL,within-region BH,SNr,47,14,0,2,0
IBL,within-region BH,GRN,184,6,0,0,0
IBL,within-region BH,IRN,185,8,0,0,0
IBL,within-region BH,ALL,1620,102,5,13,3
IBL,hierarchical BB,MRN,777,47,0,0,0
IBL,hierarchical BB,SCm,427,27,5,11,3
IBL,hierarchical BB,SNr,47,14,0,2,0
IBL,hierarchical BB,GRN,184,6,0,0,0
IBL,hierarchical BB,IRN,185,8,0,0,0
IBL,hierarchical BB,ALL,1620,102,5,13,3
Steinmetz,dataset-wide BH,MRN,223,60,23,0,0
Steinmetz,dataset-wide BH,SC,168,45,18,0,0
Steinmetz,dataset-wide BH,SNr,79,13,7,0,0
Steinmetz,dataset-wide BH,ALL,470,118,48,0,0
Steinmetz,within-region BH,MRN,223,65,24,0,0
Steinmetz,within-region BH,SC,168,45,18,0,0
Steinmetz,within-region BH,SNr,79,9,7,0,0
Steinmetz,within-region BH,ALL,470,119,49,0,0
Steinmetz,hierarchical BB,MRN,223,65,24,0,0
Steinmetz,hierarchical BB,SC,168,45,18,0,0
Steinmetz,hierarchical BB,SNr,79,9,7,0,0
Steinmetz,hierarchical BB,ALL,470,119,49,0,0
