cell,auc_before,auc_after,n
00a824c0-e060-495f-9ebc-79c82fef4c67:42,0.5970037453183521,0.5602996254681647,164
00a824c0-e060-495f-9ebc-79c82fef4c67:44,0.46726591760299624,0.44883895131086143,164
00a824c0-e060-495f-9ebc-79c82fef4c67:52,0.4621722846441948,0.4540823970037453,164
00a824c0-e060-495f-9ebc-79c82fef4c67:58,0.5459176029962547,0.5478651685393259,164
0143d3fe-79c2-4922-8332-62c3e4e0ba85:160,0.42962962962962964,0.4851851851851853,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:183,0.44814814814814813,0.44814814814814813,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:188,0.34074074074074073,0.34814814814814815,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:202,0.45925925925925926,0.4592592592592593,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:208,0.48518518518518516,0.5333333333333333,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:213,0.537037037037037,0.5740740740740741,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:244,0.30740740740740746,0.4111111111111111,37
0143d3fe-79c2-4922-8332-62c3e4e0ba85:249,0.42592592592592593,0.5074074074074074,37
02cc03e4-8015-4050-bb42-6c832091febb:109,0.6111111111111112,0.6,19
02cc03e4-8015-4050-bb42-6c832091febb:116,0.43333333333333335,0.3222222222222223,19
02cc03e4-8015-4050-bb42-6c832091febb:176,0.3111111111111111,0.2777777777777778,19
02cc03e4-8015-4050-bb42-6c832091febb:188,0.5333333333333333,0.4777777777777778,19
02cc03e4-8015-4050-bb42-6c832091febb:191,0.43333333333333335,0.2111111111111111,19
02cc03e4-8015-4050-bb42-6c832091febb:21,0.3888888888888889,0.5111111111111111,19
02cc03e4-8015-4050-bb42-6c832091febb:24,0.5222222222222223,0.38888888888888895,19
02cc03e4-8015-4050-bb42-6c832091febb:30,0.4,0.45555555555555555,19
02cc03e4-8015-4050-bb42-6c832091febb:31,0.5555555555555556,0.48888888888888893,19
02cc03e4-8015-4050-bb42-6c832091febb:38,0.39999999999999997,0.3111111111111111,19
02cc03e4-8015-4050-bb42-6c832091febb:41,0.3333333333333333,0.21111111111111114,19
02cc03e4-8015-4050-bb42-6c832091febb:52,0.4666666666666667,0.5333333333333333,19
02cc03e4-8015-4050-bb42-6c832091febb:69,0.5555555555555556,0.6777777777777778,19
02cc03e4-8015-4050-bb42-6c832091febb:78,0.5111111111111112,0.5222222222222223,19
02cc03e4-8015-4050-bb42-6c832091febb:95,0.4777777777777778,0.6666666666666666,19
02cc03e4-8015-4050-bb42-6c832091febb:99,0.5111111111111112,0.4555555555555556,19
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d:13,0.3763157894736842,0.4210526315789474,39
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d:32,0.5,0.5499999999999999,39
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d:39,0.6105263157894736,0.531578947368421,39
0393f34c-a2bd-4c01-99c9-f6b4ec6e786d:41,0.5078947368421053,0.46578947368421053,39
069c2674-80b0-44b4-a3d9-28337512967f:1005,0.38515488018702515,0.40502630040911747,117
069c2674-80b0-44b4-a3d9-28337512967f:657,0.6052016364699007,0.5824079485680888,117
069c2674-80b0-44b4-a3d9-28337512967f:686,0.6104617182933957,0.6002337814143776,117
069c2674-80b0-44b4-a3d9-28337512967f:710,0.4637638807714786,0.47077732320280535,117
069c2674-80b0-44b4-a3d9-28337512967f:742,0.41759205143191114,0.43541788427819983,117
069c2674-80b0-44b4-a3d9-28337512967f:776,0.6078316773816481,0.6049094097019287,117
069c2674-80b0-44b4-a3d9-28337512967f:829,0.5625365283459964,0.5508474576271186,117
069c2674-80b0-44b4-a3d9-28337512967f:974,0.4263588544710695,0.4436002337814144,117
