cell,auc_before,auc_after,n
00a824c0-e060-495f-9ebc-79c82fef4c67:144,0.447191011235955,0.4633707865168539,164
00a824c0-e060-495f-9ebc-79c82fef4c67:215,0.5069662921348315,0.48434456928838954,164
00a824c0-e060-495f-9ebc-79c82fef4c67:220,0.5695880149812734,0.5471161048689139,164
00a824c0-e060-495f-9ebc-79c82fef4c67:228,0.39146067415730335,0.3968539325842697,164
00a824c0-e060-495f-9ebc-79c82fef4c67:232,0.5674157303370787,0.5406741573033709,164
00a824c0-e060-495f-9ebc-79c82fef4c67:254,0.4359550561797753,0.46352059925093636,164
00a824c0-e060-495f-9ebc-79c82fef4c67:261,0.4158801498127341,0.4310112359550562,164
00a824c0-e060-495f-9ebc-79c82fef4c67:308,0.6283895131086142,0.5985018726591761,164
069c2674-80b0-44b4-a3d9-28337512967f:1086,0.5017533606078317,0.4997077732320281,117
069c2674-80b0-44b4-a3d9-28337512967f:1091,0.49269433080070135,0.4915254237288135,117
069c2674-80b0-44b4-a3d9-28337512967f:1093,0.3294856808883694,0.304500292226768,117
069c2674-80b0-44b4-a3d9-28337512967f:1136,0.4935710111046173,0.5070134424313267,117
069c2674-80b0-44b4-a3d9-28337512967f:1147,0.43366452367036823,0.4935710111046172,117
069c2674-80b0-44b4-a3d9-28337512967f:1162,0.4758912916423145,0.49678550555230866,117
069c2674-80b0-44b4-a3d9-28337512967f:1164,0.45061367621274107,0.4503214494447691,117
069c2674-80b0-44b4-a3d9-28337512967f:1198,0.5347749853886615,0.5520163646990064,117
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:404,0.3744939271255061,0.3562753036437247,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:423,0.3582995951417004,0.38866396761133604,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:424,0.5384615384615385,0.4736842105263158,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:466,0.5283400809716599,0.5465587044534413,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:491,0.29453441295546556,0.27530364372469635,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:521,0.46963562753036436,0.5121457489878543,45
07abb39b-063b-4ef8-b3ab-963c6a1b5cc5:542,0.4352226720647773,0.41700404858299595,45
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:923,0.5771929824561403,0.5631578947368421,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:931,0.4649122807017544,0.45175438596491224,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:936,0.3824561403508771,0.3736842105263158,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:949,0.4850877192982457,0.44385964912280695,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:958,0.41491228070175445,0.4114035087719298,68
0a45a464-a909-4b7c-a3e0-cd6cfb4262e4:969,0.3807017543859649,0.35789473684210527,68
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:527,0.4619565217391304,0.46156832298136646,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:530,0.406832298136646,0.4506987577639751,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:536,0.5120341614906833,0.5493012422360248,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:546,0.35093167701863354,0.4343944099378882,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:573,0.37461180124223603,0.4716614906832298,102
15a2a63f-739d-4eb0-ab8f-fc95b6299b68:601,0.2534937888198758,0.359860248447205,102
3c283107-7012-48fc-a6c2-ed096b23974f:1010,0.6148648648648649,0.5202702702702703,49
3c283107-7012-48fc-a6c2-ed096b23974f:1013,0.43243243243243246,0.5067567567567568,49
3c283107-7012-48fc-a6c2-ed096b23974f:1032,0.5585585585585586,0.4954954954954955,49
3c283107-7012-48fc-a6c2-ed096b23974f:1051,0.4403153153153153,0.5202702702702703,49
3c283107-7012-48fc-a6c2-ed096b23974f:1052,0.6824324324324325,0.5900900900900902,49
3c283107-7012-48fc-a6c2-ed096b23974f:1063,0.6441441441441441,0.5382882882882883,49
3c283107-7012-48fc-a6c2-ed096b23974f:1078,0.759009009009009,0.5720720720720721,49
3c283107-7012-48fc-a6c2-ed096b23974f:1080,0.6576576576576576,0.5945945945945946,49
3c283107-7012-48fc-a6c2-ed096b23974f:1083,0.5315315315315317,0.4887387387387388,49
3c283107-7012-48fc-a6c2-ed096b23974f:1098,0.5315315315315315,0.6171171171171171,49
3c283107-7012-48fc-a6c2-ed096b23974f:1120,0.34909909909909914,0.46171171171171177,49
3c283107-7012-48fc-a6c2-ed096b23974f:1125,0.6599099099099099,0.5090090090090091,49
3c283107-7012-48fc-a6c2-ed096b23974f:1128,0.472972972972973,0.481981981981982,49
3c283107-7012-48fc-a6c2-ed096b23974f:1149,0.24549549549549549,0.3445945945945946,49
3c283107-7012-48fc-a6c2-ed096b23974f:1152,0.5202702702702703,0.5,49
3c283107-7012-48fc-a6c2-ed096b23974f:1157,0.45495495495495497,0.536036036036036,49
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:358,0.5310559006211181,0.6149068322981367,102
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:430,0.6498447204968945,0.47243788819875776,102
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:433,0.5912267080745343,0.5267857142857143,102
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:441,0.5097049689440993,0.5885093167701864,102
46448da7-ad7b-4ca8-b3ab-2d1d47439cbf:452,0.5700698757763975,0.562888198757764,102
