cell,auc_before,auc_after,n
Cori_2016-12-18:349,0.34593131765584173,0.33575961179544606,151
Cori_2016-12-18:353,0.44643523702874205,0.4412094064949608,151
Cori_2016-12-18:379,0.45959313176558414,0.5328480776409108,151
Cori_2016-12-18:491,0.499906681597611,0.593505039193729,151
Cori_2016-12-18:542,0.4706047032474804,0.517170586039567,151
Cori_2016-12-18:543,0.5712952594251585,0.6317655841731988,151
Cori_2016-12-18:544,0.4339305711086226,0.507465472191116,151
Cori_2016-12-18:545,0.5236095558044047,0.5432997387084734,151
Cori_2016-12-18:546,0.5894923478910041,0.633631952220978,151
Cori_2016-12-18:547,0.40388204553938034,0.492347891004106,151
Cori_2016-12-18:548,0.6706793579693915,0.6580813736468831,151
Cori_2016-12-18:549,0.5432997387084733,0.6730123180291152,151
Cori_2016-12-18:550,0.4528742067935797,0.52668906308324,151
Cori_2016-12-18:551,0.5393803658081373,0.5468458379992535,151
Cori_2016-12-18:552,0.5273422918999626,0.6022769690182904,151
Cori_2016-12-18:553,0.48170959313176565,0.4807764091078761,151
Cori_2016-12-18:554,0.5709219858156028,0.5690556177678238,151
Cori_2016-12-18:556,0.5294886151549086,0.6375513251213138,151
Cori_2016-12-18:559,0.42711832773422925,0.4955207166853304,151
Hench_2017-06-17:546,0.5581877559483697,0.5724949458296615,292
Hench_2017-06-17:860,0.6202374164117983,0.5955108599865222,292
Hench_2017-06-17:878,0.5300917526307605,0.5711990047172256,292
Hench_2017-06-17:918,0.45757088797885026,0.5140220828365559,292
Hench_2017-06-17:934,0.4300969363952102,0.511171012389197,292
Lederberg_2017-12-06:268,0.4088614503035679,0.4340678081724538,244
Lederberg_2017-12-06:278,0.4640152807149192,0.48795961525342796,244
Lederberg_2017-12-06:280,0.4515314823657821,0.4896650521863702,244
Lederberg_2017-12-06:290,0.5328126065898083,0.5395320281056006,244
Lederberg_2017-12-06:386,0.5560065488778224,0.5494235623166654,244
Lederberg_2017-12-06:387,0.5357800668531278,0.5114946449280305,244
Lederberg_2017-12-06:388,0.24865270482297566,0.3052732109966574,244
Lederberg_2017-12-06:389,0.421754553516611,0.42581349341701347,244
Lederberg_2017-12-06:390,0.534211064874821,0.5358482843304455,244
Lederberg_2017-12-06:391,0.4137048911931237,0.4262910157582373,244
