cell,region,p_delib,p_early,p_move,p_stim
Cori_2016-12-18:349,MRN,0.0014992503748125937,0.0004997501249375312,0.0004997501249375312,0.3213393303348326
Cori_2016-12-18:353,MRN,0.2703648175912044,0.37381309345327335,0.22338830584707647,0.8390804597701149
Cori_2016-12-18:379,MRN,0.4217891054472764,0.095952023988006,0.5352323838080959,0.7651174412793603
Cori_2016-12-18:491,MRN,0.999000499750125,0.88055972013993,0.07196401799100449,0.11344327836081959
Cori_2016-12-18:542,MRN,0.5207396301849075,0.4592703648175912,0.7461269365317341,0.7756121939030485
Cori_2016-12-18:543,MRN,0.1539230384807596,0.8585707146426786,0.008995502248875561,0.2958520739630185
Cori_2016-12-18:544,MRN,0.17341329335332334,0.004997501249375313,0.7106446776611695,0.5637181409295352
Cori_2016-12-18:545,MRN,0.6326836581709145,0.5617191404297851,0.2783608195902049,0.4877561219390305
Cori_2016-12-18:546,MRN,0.06846576711644178,0.2708645677161419,0.013493253373313344,0.5782108945527237
Cori_2016-12-18:547,MRN,0.04597701149425287,0.009995002498750625,0.9660169915042479,0.6301849075462269
Cori_2016-12-18:548,MRN,0.0004997501249375312,0.0024987506246876563,0.006496751624187906,0.004497751124437781
Cori_2016-12-18:549,MRN,0.392303848075962,0.7561219390304847,0.0004997501249375312,0.01249375312343828
Cori_2016-12-18:550,MRN,0.3408295852073963,0.16741629185407297,0.7531234382808596,0.9365317341329336
Cori_2016-12-18:551,MRN,0.4267866066966517,0.2928535732133933,0.5352323838080959,0.9020489755122438
Cori_2016-12-18:552,MRN,0.5592203898050975,0.991504247876062,0.03698150924537731,0.38630684657671166
Cori_2016-12-18:553,MRN,0.7141429285357321,0.8740629685157422,0.5782108945527237,0.6326836581709145
Cori_2016-12-18:554,MRN,0.14742628685657172,0.191904047976012,0.2943528235882059,0.9785107446276862
Cori_2016-12-18:556,MRN,0.5442278860569715,0.617191404297851,0.004997501249375313,0.17191404297851073
Cori_2016-12-18:559,MRN,0.1454272863568216,0.00849575212393803,0.9640179910044977,0.7816091954022989
Hench_2017-06-17:16,SC,0.9375312343828086,0.6116941529235382,0.11244377811094453,0.9320339830084957
Hench_2017-06-17:212,SC,0.0004997501249375312,0.0029985007496251873,0.0024987506246876563,0.06896551724137931
Hench_2017-06-17:440,SC,0.004997501249375313,0.0074962518740629685,0.0009995002498750624,0.03398300849575212
Hench_2017-06-17:546,MRN,0.11044477761119441,0.09345327336331834,0.027486256871564217,0.24187906046976512
Hench_2017-06-17:860,MRN,0.0024987506246876563,0.0014992503748125937,0.02848575712143928,0.11444277861069466
Hench_2017-06-17:878,MRN,0.3893053473263368,0.8525737131434283,0.12293853073463268,0.841079460269865
Hench_2017-06-17:918,MRN,0.23338330834582707,0.46976511744127936,0.32533733133433285,0.30884557721139433
Hench_2017-06-17:934,MRN,0.04847576211894053,0.0014992503748125937,0.6751624187906047,0.1984007996001999
Lederberg_2017-12-06:268,MRN,0.017991004497751123,0.0034982508745627187,0.127936031984008,0.6781609195402298
Lederberg_2017-12-06:278,MRN,0.3423288355822089,0.600199900049975,0.7411294352823589,0.47926036981509246
Lederberg_2017-12-06:280,MRN,0.1634182908545727,0.04047976011994003,0.7576211894052973,0.1374312843578211
Lederberg_2017-12-06:284,SC,0.0004997501249375312,0.0004997501249375312,0.014492753623188406,0.8350824587706147
Lederberg_2017-12-06:290,MRN,0.383808095952024,0.5167416291854073,0.3363318340829585,0.21489255372313842
Lederberg_2017-12-06:370,SC,0.16491754122938532,0.20589705147426288,0.9610194902548725,0.8530734632683659
Lederberg_2017-12-06:384,SC,0.0004997501249375312,0.0004997501249375312,0.0009995002498750624,0.5477261369315343
Lederberg_2017-12-06:385,SC,0.7001499250374813,0.3503248375812094,0.3103448275862069,0.6151924037981009
Lederberg_2017-12-06:386,MRN,0.13693153423288357,0.15792103948025987,0.11244377811094453,0.863568215892054
Lederberg_2017-12-06:387,MRN,0.3288355822088955,0.8085957021489255,0.6906546726636682,0.5947026486756621
Lederberg_2017-12-06:388,MRN,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.04897551224387806
Lederberg_2017-12-06:389,MRN,0.03648175912043978,0.48825587206396803,0.06546726636681659,0.13693153423288357
Lederberg_2017-12-06:390,MRN,0.3748125937031484,0.32983508245877063,0.136431784107946,0.11644177911044477
Lederberg_2017-12-06:391,MRN,0.013493253373313344,0.005497251374312844,0.07496251874062969,0.44427786106946526
Lederberg_2017-12-06:392,MRN,0.0004997501249375312,0.0004997501249375312,0.0004997501249375312,0.08745627186406797
