label,N_cells,N_trials,gscale,percell_auc,recovery,se,n,rec_step,rec_ramp
Cori_2016-12-18,20,59,0.015,0.5286536242016777,0.57,0.04950757517794625,100,0.42,0.72
Cori_2016-12-18,20,59,0.022,0.5403296770533548,0.55,0.049749371855330994,100,0.44,0.66
Cori_2016-12-18,20,59,0.032,0.551714628354498,0.63,0.048280430818293245,100,0.6,0.66
Cori_2016-12-18,20,59,0.045,0.5720235134542613,0.72,0.0448998886412873,100,0.76,0.68
Cori_2016-12-18,20,59,0.065,0.5979319430567173,0.75,0.04330127018922193,100,0.78,0.72
Cori_2016-12-18,20,59,0.09,0.6224138949106384,0.86,0.03469870314579494,100,0.8,0.92
Hench_2017-06-17,7,99,0.015,0.5286536242016777,0.5,0.05,100,0.44,0.56
Hench_2017-06-17,7,99,0.022,0.5403296770533548,0.56,0.04963869458396342,100,0.34,0.78
Hench_2017-06-17,7,99,0.032,0.551714628354498,0.56,0.04963869458396342,100,0.5,0.62
Hench_2017-06-17,7,99,0.045,0.5720235134542613,0.62,0.048538644398046386,100,0.58,0.66
Hench_2017-06-17,7,99,0.065,0.5979319430567173,0.59,0.04918333050943175,100,0.62,0.56
Hench_2017-06-17,7,99,0.09,0.6224138949106384,0.72,0.0448998886412873,100,0.74,0.7
Lederberg_2017-12-06,26,61,0.015,0.5286536242016777,0.43,0.04950757517794625,100,0.36,0.5
Lederberg_2017-12-06,26,61,0.022,0.5403296770533548,0.54,0.04983974317750845,100,0.36,0.72
Lederberg_2017-12-06,26,61,0.032,0.551714628354498,0.61,0.048774993593028795,100,0.58,0.64
Lederberg_2017-12-06,26,61,0.045,0.5720235134542613,0.63,0.048280430818293245,100,0.72,0.54
Lederberg_2017-12-06,26,61,0.065,0.5979319430567173,0.84,0.036660605559646724,100,0.86,0.82
Lederberg_2017-12-06,26,61,0.09,0.6224138949106384,0.92,0.027129319932501065,100,0.9,0.94
Lederberg_2017-12-07,17,70,0.015,0.5286536242016777,0.56,0.04963869458396342,100,0.52,0.6
Lederberg_2017-12-07,17,70,0.022,0.5403296770533548,0.57,0.04950757517794625,100,0.52,0.62
Lederberg_2017-12-07,17,70,0.032,0.551714628354498,0.62,0.048538644398046386,100,0.66,0.58
Lederberg_2017-12-07,17,70,0.045,0.5720235134542613,0.73,0.044395945760846225,100,0.72,0.74
Lederberg_2017-12-07,17,70,0.065,0.5979319430567173,0.8,0.04,100,0.78,0.82
Lederberg_2017-12-07,17,70,0.09,0.6224138949106384,0.89,0.031288975694324025,100,0.88,0.9
Muller_2017-01-07,34,124,0.015,0.5286536242016777,0.55,0.049749371855330994,100,0.52,0.58
Muller_2017-01-07,34,124,0.022,0.5403296770533548,0.65,0.047696960070847276,100,0.6,0.7
Muller_2017-01-07,34,124,0.032,0.551714628354498,0.69,0.04624932431938871,100,0.62,0.76
Muller_2017-01-07,34,124,0.045,0.5720235134542613,0.85,0.035707142142714254,100,0.94,0.76
Muller_2017-01-07,34,124,0.065,0.5979319430567173,0.91,0.028618176042508364,100,0.94,0.88
Muller_2017-01-07,34,124,0.09,0.6224138949106384,0.98,0.014000000000000005,100,0.96,1.0
Muller_2017-01-09,2,36,0.015,0.5286536242016777,0.58,0.04935585071701227,100,0.54,0.62
Muller_2017-01-09,2,36,0.022,0.5403296770533548,0.55,0.049749371855330994,100,0.54,0.56
Muller_2017-01-09,2,36,0.032,0.551714628354498,0.54,0.04983974317750845,100,0.5,0.58
Muller_2017-01-09,2,36,0.045,0.5720235134542613,0.51,0.04998999899979995,100,0.38,0.64
Muller_2017-01-09,2,36,0.065,0.5979319430567173,0.54,0.04983974317750845,100,0.58,0.5
Muller_2017-01-09,2,36,0.09,0.6224138949106384,0.55,0.049749371855330994,100,0.48,0.62
Radnitz_2017-01-08,20,54,0.015,0.5286536242016777,0.54,0.04983974317750845,100,0.42,0.66
Radnitz_2017-01-08,20,54,0.022,0.5403296770533548,0.44,0.04963869458396343,100,0.38,0.5
Radnitz_2017-01-08,20,54,0.032,0.551714628354498,0.58,0.04935585071701227,100,0.62,0.54
Radnitz_2017-01-08,20,54,0.045,0.5720235134542613,0.66,0.04737087712930804,100,0.68,0.64
Radnitz_2017-01-08,20,54,0.065,0.5979319430567173,0.74,0.04386342439892262,100,0.76,0.72
Radnitz_2017-01-08,20,54,0.09,0.6224138949106384,0.84,0.036660605559646724,100,0.84,0.84
Radnitz_2017-01-09,29,28,0.015,0.5286536242016777,0.52,0.049959983987187186,100,0.34,0.7
Radnitz_2017-01-09,29,28,0.022,0.5403296770533548,0.51,0.04998999899979995,100,0.44,0.58
Radnitz_2017-01-09,29,28,0.032,0.551714628354498,0.65,0.047696960070847276,100,0.54,0.76
Radnitz_2017-01-09,29,28,0.045,0.5720235134542613,0.63,0.048280430818293245,100,0.6,0.66
Radnitz_2017-01-09,29,28,0.065,0.5979319430567173,0.68,0.0466476151587624,100,0.62,0.74
Radnitz_2017-01-09,29,28,0.09,0.6224138949106384,0.87,0.03363034344160047,100,0.9,0.84
Radnitz_2017-01-11,38,20,0.015,0.5286536242016777,0.43,0.04950757517794625,100,0.38,0.48
Radnitz_2017-01-11,38,20,0.022,0.5403296770533548,0.59,0.04918333050943175,100,0.48,0.7
Radnitz_2017-01-11,38,20,0.032,0.551714628354498,0.64,0.048,100,0.56,0.72
Radnitz_2017-01-11,38,20,0.045,0.5720235134542613,0.65,0.047696960070847276,100,0.68,0.62
Radnitz_2017-01-11,38,20,0.065,0.5979319430567173,0.77,0.042083250825001625,100,0.76,0.78
Radnitz_2017-01-11,38,20,0.09,0.6224138949106384,0.85,0.035707142142714254,100,0.88,0.82
Richards_2017-10-31,2,32,0.015,0.5286536242016777,0.5,0.05,100,0.46,0.54
Richards_2017-10-31,2,32,0.022,0.5403296770533548,0.51,0.04998999899979995,100,0.48,0.54
Richards_2017-10-31,2,32,0.032,0.551714628354498,0.58,0.04935585071701227,100,0.52,0.64
